trial,failed,cause,disp_r_R_m,disp_r_T_m,disp_r_N_m,disp_v_R_mps,disp_v_T_mps,disp_v_N_mps,disp_r_norm_m,disp_v_norm_mps,predicted_miss_m,t_closest_s,min_range_m,r_cor_entry_t_s,r_cor_entry_speed_mps,dv_tag_total_mps,dv_node_total_mps,tag_ddm_duty,tag_medt_duty,tag_sat_cmd_frac,terminal_sat_frac,terminal_sat_steps,terminal_steps
1,True,no_R_COR_large_alongtrack_velocity_dispersion,32.42415960974114,-114.49481464996181,9.658682089388385,0.005197608183587232,0.0427407258525167,-0.0053618362278716235,119.38877186666654,0.04338817886204259,7.455410029308222e-05,6830.0,41.87582572793867,nan,nan,0.7885024719689706,0.0,0.476058292852186,1.0,0.24496877168632894,0.0,0,0
11,True,no_R_COR_large_alongtrack_velocity_dispersion,35.85974215593541,-135.66744978840222,-5.5858520243277034,0.005620397473303215,0.043107934961176014,-0.004763979558191338,140.43781464554516,0.04373303586084276,7.455410029308222e-05,6760.0,55.669086051214514,nan,nan,0.8062243718126638,0.0,0.43303261623872313,1.0,0.3136710617626648,0.0,0,0
18,True,no_R_COR_large_alongtrack_velocity_dispersion,-41.15574855811598,105.26069744253505,-10.415257840552465,-0.0032486484030831778,-0.03569822942899318,0.003053395942448814,113.49928484952211,0.035975554583539814,7.455410029308222e-05,6940.0,12.122578587490374,nan,nan,0.8810216121611663,0.0,0.4219292158223456,1.0,0.19500346981263011,0.0,0,0
28,True,no_R_COR_large_alongtrack_velocity_dispersion,30.597748088255514,-125.44858132704397,15.57156127144922,0.0069365482996449936,0.04533772520242428,-0.005803140083897227,130.06168638561783,0.04623095784944522,7.455410029308222e-05,6830.0,41.67530245307645,nan,nan,0.768097264690093,0.0,0.5170020818875781,1.0,0.24149895905621097,0.0,0,0
37,True,no_R_COR_large_alongtrack_velocity_dispersion,44.04676230463569,115.47687185727852,15.964934971395408,-0.00833545677132778,0.04796106189973347,0.006375555214467336,124.61903687681222,0.04909573303688887,7.455410029308222e-05,6725.0,72.48913272261863,nan,nan,0.7503229394699924,0.0,0.5218598195697433,1.0,0.31158917418459403,0.0,0,0
65,True,no_R_COR_large_alongtrack_position_dispersion,46.98816487012293,-168.7963772801574,11.034231025895494,-0.016155807811353343,-0.027830868212069405,-0.0032165982103640215,175.5615529525184,0.03234059145287665,7.455410029308222e-05,6800.0,45.80669438662978,nan,nan,0.6879152749913906,0.0,0.6724496877168633,1.0,0.24843858431644691,0.0,0,0
69,True,no_R_COR_moderate_coupled_dispersion,41.63719944000809,-144.32366240903693,0.03373250619662116,-0.011028772028498914,0.02930775125903752,0.004703361185853737,150.20977679980302,0.031665433879276166,7.455410029308222e-05,6715.0,65.44694379730987,nan,nan,0.8057183708242911,0.0,0.63705759888966,1.0,0.3178348369188064,0.0,0,0
72,True,no_R_COR_large_alongtrack_velocity_dispersion,0.42387569339194187,-171.5991769784349,-15.920160920976901,-0.0008533125200125107,-0.04261581585743406,-0.007405658047290109,172.3366146065005,0.04326291338507997,7.455410029308222e-05,6875.0,10.62219867049953,nan,nan,0.32460427326737773,0.0,0.3886190145732131,1.0,0.10756419153365718,0.0,0,0
78,True,no_R_COR_large_alongtrack_velocity_dispersion,49.05707051900403,-126.22570230986736,-6.6293954056001745,-0.004066145975791576,0.03611596210247603,-0.004435324060966223,135.58566655428436,0.036613772834955385,7.455410029308222e-05,6510.0,91.95459888295834,nan,nan,0.7790599617427769,0.0,0.3199167244968772,1.0,0.3469812630117974,0.0,0,0
80,True,no_R_COR_large_alongtrack_position_dispersion,46.99801133441254,-193.9838160614448,-7.546140149475935,-0.0038740770305621015,0.023030945487807847,0.004983851028059583,199.73852456225254,0.023880362098824968,7.455410029308222e-05,6570.0,86.28414201581207,nan,nan,0.759080082327575,0.0,0.6245662734212353,1.0,0.31297709923664124,0.0,0,0
