axis,bin_low,bin_high,count,fail_count,fail_rate,bin_center
disp_r_norm_m,2.408884872281089,19.24977465478441,16,0,0.0,10.82932976353275
disp_r_norm_m,19.24977465478441,36.090664437287735,76,0,0.0,27.670219546036073
disp_r_norm_m,36.090664437287735,52.93155421979105,131,10,0.07633587786259542,44.51110932853939
disp_r_norm_m,52.93155421979105,69.77244400229438,100,8,0.08,61.351999111042716
disp_r_norm_m,69.77244400229438,86.6133337847977,89,6,0.06741573033707865,78.19288889354604
disp_r_norm_m,86.6133337847977,103.45422356730101,85,5,0.058823529411764705,95.03377867604937
disp_r_norm_m,103.45422356730101,120.29511334980434,78,8,0.10256410256410256,111.87466845855268
disp_r_norm_m,120.29511334980434,137.13600313230765,84,15,0.17857142857142858,128.715558241056
disp_r_norm_m,137.13600313230765,153.97689291481097,105,12,0.11428571428571428,145.5564480235593
disp_r_norm_m,153.97689291481097,170.8177826973143,75,6,0.08,162.39733780606264
disp_r_norm_m,170.8177826973143,187.65867247981762,85,6,0.07058823529411765,179.23822758856596
disp_r_norm_m,187.65867247981762,204.49956226232092,76,11,0.14473684210526316,196.0791173710693
disp_v_norm_mps,0.0029833192919417073,0.007166649439812231,18,2,0.1111111111111111,0.005074984365876969
disp_v_norm_mps,0.007166649439812231,0.011349979587682753,71,4,0.056338028169014086,0.009258314513747493
disp_v_norm_mps,0.011349979587682753,0.015533309735553275,86,4,0.046511627906976744,0.013441644661618013
disp_v_norm_mps,0.015533309735553275,0.0197166398834238,110,7,0.06363636363636363,0.017624974809488537
disp_v_norm_mps,0.0197166398834238,0.023899970031294324,123,8,0.06504065040650407,0.02180830495735906
disp_v_norm_mps,0.023899970031294324,0.028083300179164845,84,3,0.03571428571428571,0.025991635105229585
disp_v_norm_mps,0.028083300179164845,0.03226663032703537,110,13,0.11818181818181818,0.03017496525310011
disp_v_norm_mps,0.03226663032703537,0.03644996047490589,90,9,0.1,0.03435829540097063
disp_v_norm_mps,0.03644996047490589,0.04063329062277641,91,11,0.12087912087912088,0.03854162554884115
disp_v_norm_mps,0.04063329062277641,0.04481662077064694,93,12,0.12903225806451613,0.04272495569671167
disp_v_norm_mps,0.04481662077064694,0.04899995091851746,73,9,0.1232876712328767,0.0469082858445822
disp_v_norm_mps,0.04899995091851746,0.053183281066387984,51,5,0.09803921568627451,0.051091615992452724
